N° LIVRE;N° ISBN;TITRE;AUTEUR;EPOQUE;NATIONALITE;GENRE;SOUS GENRE;CATEGORIE LECTEUR;COMMENTAIRE;REF BIBLI;PRESENT;DATE EMPRUNT;EMPRUNTEUR;RETOUR PREVU
436;9782724216814;MANOIR DE LA HAINE-LE;HALE KATHERINE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-HAL;;;;
437;9782724223705;AMANT DE LADY CHATTERLEY;LAURENCE D.H;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-LAU;;;;
438;9782298022711;VIE MALGRE TOUT-LA;MACDONALD SARA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-MAC;;;;
439;9782298095463;EN ATTENDANT DOGGO;MILLS MARK;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;TOUT PUBLIC;;RRO-MIL;;;;
440;9782070364283;PERLE-LA;STEINBECK JOHN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;TOUT PUBLIC;2 EXEMPLAIRES;RRO-STE;;;;
441;9782277221555;OMBRE DE LA LUNE-L'  -T1;KAYE M.M;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-KAY;;;;
442;9782277221562;OMBRE DE LA LUNE-L'  -T2;KAYE M.M;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-KAY;;;;
443;;SARN;WEBB MARY;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-WEB;;;;
444;9782266195225;SI JE RESTE;FORMAN GAYLE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-FOR;;;;
445;9782253001325;MONTAGNE EST JEUNE-LA;SUYING HAN;CONTEMPORAINE (+19°);ASIATIQUE;ROMAN;ROMAN;ADULTE;;RRO-SUY;;;;
446;;NAUFRAGES-LES;GREEN GRAHAM;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-GRE;;;;
447;9783021099304;JUSTINE;DURRELL LAWRENCE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-DUR;;;;
448;;CLEA;DURRELL LAWRENCE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-DUR;;;;
449;9782253161677;ILE DES OUBLIES-L';HISLOP VICTORIA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-HIS;;;;
450;9782253178101;FIL DES SOUVENIRS-LE;HISLOP VICTORIA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-HIS;;;;
451;9782207256459;SUITE FRANCAISE;NEMIROVSKY IRENE;CONTEMPORAINE (+19°);RUSSE;ROMAN;BIOGRAPHIE;ADULTE;EXODE 1940 EN DIRECT;RBI-NEM;;;;
452;9782070413591;HISTOIRES EXTRAORDINAIES;POE EDGAR ALLAN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;SF SCIENCE FICTION;ADULTE;;RSF-POE;;;;
453;9782266125772;FLEURS D'ORIENT-LES;WOOD BARBABRA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-WOO;;;;
454;9782266118385;SELENE;WOOD BARBABRA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;2 EXEMPLAIRES;RRO-WOO;;;;
455;9782266085847;PROPHETESSE-LA;WOOD BARBABRA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-WOO;;;;
456;;FIN D'UNE LIAISON;GREEN GRAHAM;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-GRE;;;;
457;9782253006138;TROISIEME HOMME-LE;GREEN GRAHAM;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-GRE;;;;
458;9782266139915;RETOUR EN IRLANDE;BINCHY MAEVE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-BIN;;;;
459;9782743629441;DIEUX DE LA PLUIE;BURKE JAMES LEE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-BUR;;;;
460;9782840112600;ETATS SECONDS;BROOKNER ANITA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-BRO;;;;
461;9782021244274;VIES MULTIPLES D'AMORY CLAY;BOYD WILLIAM;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-BOY;;;;
462;9782265085671;SACRIFICE;BOLTON SHARON;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-BOL;;;;
463;9782738208439;NAISSANCES SUR ORDONNANCE;COOK ROBIN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-COO;;;;
464;9782253076186;RECHERCHE JEUNE FEMME AIMANT DANSER;CLARK MARY HIGGINGS;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-CLA;;;;
465;9782744109215;JOYEUX NOEL, MERY CHRSTMAS;CLARK MARY HIGGINGS;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-CLA;;;;
466;9782286003999;NOUS N'IRONS PLUS AU BOIS;CLARK MARY HIGGINGS;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-CLA;;;;
467;9782298056495;ECORCHEUR DE PORTLAND-L';HAYMAN JAMES;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-HAY;;;;
468;;CEFALU;DURRELL LAWRENCE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-DUR;;;;
469;9782747058582;ARENA 13;DELANEY JOSEPH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-DEL;;;;
470;;ABC CONTRE HERCULE POIROT;CHRISTIE AGATHA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-CHR;;;;
471;9782749913476;PORTE D'ORPHEE;KRING TIM;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-KRI;;;;
472;;BALLADE ET LA SOURCE-LA;LEHMNN ROSAMOND;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-LEH;;;;
473;9782714453174;POPPY WYATT EST UN SACRE NUMERO;KINSELLA SOPHIE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-KIN;;;;
474;9782277213079;PAVILLON S LOINAINS  -T1;KAYE M.M;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-KAY;;;;
475;9782277213086;PAVILLON S LOINAINS  -T2;KAYE M.M;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-KAY;;;;
476;9782070359455;INCONSOLE-L';ISHIGURO KASUO;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-ISH;;;;
477;9782265116511;ELEANOR OLIPHANT VA TRES BIEN;HONEYMAN GAIL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-HON;;;;
478;9782226095855;FEXTIN DU DIABLE-LE;HIGGINS JACK;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-HIG;;;;
479;9782226089083;ANGE DE LA MORT-L';HIGGINS JACK;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-HIG;;;;
480;9782258090071;SARATOGA WOODS;GEORGE ELISABETH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-GEO;;;;
481;9789807102700;LA DYNASTIE DES FORSYTE;GALSWORTHY JOHN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-GAL;;;;
482;9782867464911;PATRON MODELE-UN;GREEN LAND SETH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-GRE;;;;
483;9782749109992;LIVRE DE L'AIR ET DES OMBRES;GRUBER MICHAEL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-GRU;;;;
484;9782355843143;AU FOND DE L'EAU;HAWKINS PAULA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-HAW;;;;
485;9782258080423;LAMESL-LES;HAYDER MO;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-HAY;;;;
486;9782841211835;MYSTERES DU NIL-LES;GILL ANTON;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;HISTORIQUE;ADULTE;L'EGYPTE DES PHARAONS;RHI-GIL;;;;
487;9782710370369;PLUS JAMAIS CA;TRAPIELLO ANDRES;CONTEMPORAINE (+19°);ESPAGNOL;ROMAN;HISTORIQUE;ADULTE;LES RAVAGES DU FRANQUISME EN Espagne;RHI-TRA;;;;
488;9782298048537;FILLES D'ESTORIL-LES;REBELO PINTO MARGARIDA;CONTEMPORAINE (+19°);PORTUGAIS;ROMAN;ROMAN;ADULTE;;RRO-REB;;;;
489;9782876451346;VENDUES;MAHMOODY BETTY;CONTEMPORAINE (+19°);AFRICAIN;DOCUMENT;BIOGRAPHIE;ADULTE;;DBI-MAH;;;;
490;9782213595689;PAULA;ALLENDE ISABEL;CONTEMPORAINE (+19°);AMERIQUE DU SUD;ROMAN;ROMAN;ADULTE;;RRO-ALL;;;;
491;9782265093973;CHASSE AU TRESOR;CAMILLERI ANDREA;CONTEMPORAINE (+19°);ITALIEN;ROMAN;POLICIER;ADULTE;UNE ENQUETE DU COMMISSAIRE MONTALBANO;RPO-CAM;;;;
492;9782210962736;TRES VITE OU JAMAIS;FALK RITA;CONTEMPORAINE (+19°);ALLEMAND;ROMAN;ROMAN;ADULTE;;RRO-FAL;;;;
493;9782258076617;MAUDIT KARMA;SAFIER DAVID;CONTEMPORAINE (+19°);ALLEMAND;ROMAN;ROMAN;ADULTE;;RRO-SAF;;;;
494;9782857040539;MOUETTE ROSE-LA;KOUVAEV OLEG;CONTEMPORAINE (+19°);RUSSE;ROMAN;ROMAN;ADULTE;;RRO-KOU;;;;
495;9782070139323;ENTRE AMIS;OZ AMOS;CONTEMPORAINE (+19°);ISRAELIEN;ROMAN;ROMAN;ADULTE;;RRO-OZ ;;;;
496;9782087309951;FEMME QUI PLEURE-LA;VALDES ZOE;CONTEMPORAINE (+19°);AMERIQUE DU SUD;ROMAN;ROMAN;ADULTE;;RRO-VAL;;;;
497;9782742751655;PARCELLES HUMAINES;CASTEL BLOOM ORLY;CONTEMPORAINE (+19°);ISRAELIEN;ROMAN;ROMAN;ADULTE;;RRO-CAS;;;;
