N° LIVRE;N° ISBN;TITRE;AUTEUR;EPOQUE;NATIONALITE;GENRE;SOUS GENRE;CATEGORIE LECTEUR;COMMENTAIRE;REF BIBLI;PRESENT;DATE EMPRUNT;EMPRUNTEUR;RETOUR PREVU
543;9782266070072;TRAIN D'OR POUR LA CRIMEE-UN;CRICHTON MICHAEL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-CRI;;;;
544;9782266105422;SPHERE;CRICHTON MICHAEL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-CRI;;;;
545;9782266128568;MEILLEUR DES MONDES-LE;HUXLEY ALDOUS;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;SF SCIENCE FICTION;ADULTE;;RSF-HUX;;;;
546;9782277228011;LIVRE DE SETH-LE;ROBERTS JANE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;RELIGION-ESOTERISME;ADULTE;;RRE-ROB;;;;
547;9782724237218;DERNIER REVE DE BEAUCHENE-LE  *** T3;NELL DUBUS ELISABETH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-NEL;;;;
548;9782724232453;ENJEU DE BEAUCHENE-L'  ** T2;NELL DUBUS ELISABETH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;SUITE DU DERNIER REVE;RRO-NEL;;;;
549;9782724231422;BEAUCHENE   * T1;NELL DUBUS ELISABETH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-NEL;;;;
550;978274411747X;JEANNIE;PRESTON DOUGLAS;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-PRE;;;;
551;9782724271645;PARC JURASSIQUE-LE;CRICHTON MICHAEL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;D’OÙ SERA TIRE LE FILM DE SPIELBERG;RTH-CRI;;;;
552;9782744111872;DIXIEME PROPHETIE-LA;REDFIELD JAMES;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;RELIGION-ESOTERISME;ADULTE;SUITE DES AVENTURES DE LA PROPHETIE DES ANDES;RRE-RED;;;;
553;9782258081659;LETTRE D'UNE ETRANGERE;TAYLOR BRADFORD BARBARA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-TAY;;;;
554;9782878215222;POUR QUE TRIOMPHE LA VIE;TAYLOR BRADFORD BARBARA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-TAY;;;;
555;9782878216783;POUVOIR D'UNE FEMME;TAYLOR BRADFORD BARBARA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-TAY;;;;
556;9782878214544;PASSIONS DANGEREUSES;TAYLOR BRADFORD BARBARA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-TAY;;;;
557;9782868330487;TUER N'EST PAS JOUER  *T1;BROWN FREDERIC;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-BRO;;;;
558;9782868330495;TUER N'EST PAS JOUER  *T2;BROWN FREDERIC;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-BRO;;;;
559;;ARC EN CIEL-L';BUCK PEARL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-BUC;;;;
560;;SARI VERT-LE;BUCK PEARL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;10 NOUVELLES ASIATIQUES;RRO-BUC;;;;
561;;PIVOINE;BUCK PEARL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-BUC;;;;
562;;ROUTE AU TABAC-LA;CALDWELL ERSKINE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-CAL;;;;
563;9782298162363;VIRGINIENNE-LA;CHASE-RIBOUD BARBARA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;HISTORIQUE;ADULTE;;RHI-CHA;;;;
564;9782744121118;INSTANT ZERO-L';FINDER JOSEPH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-FIN;;;;
565;9782266068499;HARCELEMENT;CRICHTON MICHAEL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-CRI;;;;
566;9782266072472;COULOIR DE LA MORT;GRISHAM JONH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-GRI;;;;
567;9782266194860;REVANCHE-LA;GRISHAM JONH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-GRI;;;;
568;9782264030610;MAIN DROITE D'AMON-LA;HANEY LAUREN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;ENQUETE EN EGYPRE AU TEMPS DES PHARAONS;RPO-HAN;;;;
569;9782264030627;VISAGE DE MAAT;HANEY LAUREN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;ENQUETE EN EGYPRE AU TEMPS DES PHARAONS;RPO-HAN;;;;
570;9782020115285;EPOPEE DU BUVEUR D'EAU-L';IRVING JOHN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-IRV;;;;
571;9782266133999;RIEN NE VA PLUS;KENNEDY DOUGLAS;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-KEN;;;;
572;9782714446374;MIRAGE;KENNEDY DOUGLAS;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-KEN;;;;
573;9782724216768;ENFANT QUI NE PLEURAIT PAS-L';HAYDEN TOREY L.;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-HAY;;;;
574;9782856161162;AU ROYAUME DES CROCODILES;IDRIESS ION;CONTEMPORAINE (+19°);ANGLAIS/USA;DOCUMENT;ZOOLOGIE;ADULTE;TOUT SUR LE CROCODILE;DZO-IDR;;;;
575;9782246656418;STRATEGIE BANCROFT;LUDLUM ROBERT;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-LUD;;;;
576;9782246600619;CODE ALTMAN-LE;LUDLUM ROBERT;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-LUD;;;;
577;9782226141590;ORIGINE SUSPECTE;MACDONALD PATRICIA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-MAC;;;;
578;9782744113875;CENDRES D'ANGELA-LAS;MCCOURT FRANK;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;UNE ENFANCE IRLANDAISE;RRO-MCC;;;;
579;9782744117919;AMANTS DU LAC-LES;MCKINNON K.C.;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-MCK;;;;
580;9782744185450;DOULOUREUSE ABSENCE-UNE;MCGARRY MORRIS MARY;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-MCG;;;;
581;9782809822748;VILLA ROUGE-LA;PATTERSON JAMES;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-PAT;;;;
582;9782070493946;HISTOIRE DE LA FEMME QUI AVAIT EPOUSE UN OURS BRUN;STRALEY JOHN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-STR;;;;
583;9782351780596;WILDERNESS;WELLER LANCE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-WEL;;;;
584;;LETTRE A MOI MEME;MALLET JORIS FRANCOISE;CONTEMPORAINE (+19°);BELGE;ROMAN;ROMAN;ADULTE;;RRO-MAL;;;;
585;;EMPIRE CELESTE-L';MALLET JORIS FRANCOISE;CONTEMPORAINE (+19°);BELGE;ROMAN;ROMAN;ADULTE;;RRO-MAL;;;;
586;9791037501190;MARSEILLE 73;MANOTI DOMINIQUE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-MAN;;;;
587;;CONQUERANTS-LES;MALRAUX ANDRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAL;;;;
588;9782724207483;MON AMI GAYLORD;MALPASS ERIC;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-MAL;;;;
589;9782070148134;ET ILS OUBLIERONT LA COLERE;MARPEAU ELSA;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-MAR;;;;
590;;COUSINE RACHEL-LA;DU MAURIER DAPHNE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-DU ;;;;
591;;TRESOR DU LAC D'ARGENTLE;MAY CHARLES;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;JEUNESSE;;RRO-MAY;;;;
592;9782724226712;FERME D'EN BAS-LA;MAZEAU JACQUES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAZ;;;;
593;;MORT EST MON METIER-LA;MERLE ROBERT;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MER;;;;
594;9782259018210;IDOLE-L';MERLE ROBERT;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MER;;;;
595;9782070374441;MALEVIL;MERLE ROBERT;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MER;;;;
596;9782070365838;ILE-L';MERLE ROBERT;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MER;;;;
597;9782330038878;SEUL INVAINCU;MERLE LOIC;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MER;;;;
598;9782724207823;GRIVES AUX LOUPS;MICHELET CLAUDE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MIC;;;;
599;9782744115954;MAITRE DES PAONS-LE;MILOVANOFF JEAN PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MIL;;;;
600;9782213668963;DEJEUNER SOUS L'HERBE;MOLAY FREDERIQUE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;THRILLER;ADULTE;;RTH-MOL;;;;
601;978272429226X;DAME DU BOCAGE-LA;MONSIGNY JACQUELINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MON;;;;
602;9782277219866;IMHOTEP;MONTLAUR PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MON;;;;
603;9782277221548;NITOCRIS;MONTLAUR PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MON;;;;
604;;STORIA-LA  -I;MORANTE ELSA;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MOR;;;;
605;;AMOUR CONJUGAL-L';MORAVIA ALBERTO;CONTEMPORAINE (+19°);ITALIEN;ROMAN;ROMAN;ADULTE;;RRO-MOR;;;;
606;;SATIRICON;PETRONE;ANTIQUITE;GREC;DOCUMENT;HISTORIQUE;ADULTE;;DHI-PET;;;;
607;9782744149969;ORCHIDEEES ROUGS DE SHANGHAI-LES;MORILLOT JULIETTE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MOR;;;;
608;9782724236580;DE LA PART DE LA PRINCESSE MORTE;MOURAD KENIZE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MOU;;;;
609;9782221105399;LAGUNA NOSTRA;MULLER DOMINIQUE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-MUL;;;;
610;;AVENTURE D'UNE PARISIENNE DANS L'OCEAN INDIEN;MULLER YVONNE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MUL;;;;
611;9782266264068;CENTRAL PARK;MUSSO GUILLAUME;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;2 EXEMPLAIRES;RPO-MUS;;;;
612;9782266200219;QUE SERAIS-JE SANS TOI?;MUSSO GUILLAUME;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-MUS;;;;
613;9782266192361;JE REVIENS TE CHERCHER;MUSSO GUILLAUME;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-MUS;;;;
614;9782266239066;7 ANS APRES;MUSSO GUILLAUME;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-MUS;;;;
615;9782266267724;INSTANT PRESENT-L';MUSSO GUILLAUME;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-MUS;;;;
616;9782744165727;ET APRES;MUSSO GUILLAUME;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-MUS;;;;
617;;ŒUVRE-L';ZOLA EMILE;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;TOUT PUBLIC;;LRO-ZOL;;;;
618;;ASSOMMOIR-L';ZOLA EMILE;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;TOUT PUBLIC;;LRO-ZOL;;;;
619;9782253003663;CUREE-LA;ZOLA EMILE;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;TOUT PUBLIC;;LRO-ZOL;;;;
620;;PAGE D'AMOUR-UNE;ZOLA EMILE;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;TOUT PUBLIC;;LRO-ZOL;;;;
621;;MOULIN DE POLOGNE-LE;GIONO JEAN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GIO;;;;
622;;UN DE BAUMUGNES;GIONO JEAN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GIO;;;;
623;;SERPENT D'ETOILES;GIONO JEAN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GIO;;;;
624;;REGAIN;GIONO JEAN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GIO;;;;
625;;COLLINE;GIONO JEAN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GIO;;;;
626;;QUE MA JOIE DEMEURE;GIONO JEAN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GIO;;;;
627;;HUSSARD SUR LE TOIT-LE;GIONO JEAN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GIO;;;;
628;;EAU VIVE-L';GIONO JEAN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GIO;;;;
629;9782846263474;MORUES-LES;LECOQ TITIOU;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LEC;;;;
630;9782081334885;AU FER ROUGE;LEDUN MARIN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-LED;;;;
631;9782226392121;COULEURS DE L'INCENDIE;LEMAITRE PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LEM;;;;
632;9782724228634;VLADIMIR ROUBAIEV;LENTZ SERGE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LEN;;;;
633;9782253009184;PARFUM DE LA DAME EN NOIR-LE;LEROUX GASTON;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;TOUT PUBLIC;UNE AVENTURE DE ROULETABILLE;RPO-LER;;;;
634;9782253082309;MYSTERE DE LA CHAMBRE JAUNE;LEROUX GASTON;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;TOUT PUBLIC;UNE AVENTURE DE ROULETABILLE;RPO-LER;;;;
635;9782953078503;AU BOUT DU TUNNEL,UN RAYON DE LUMIERE;LEURRECH MARYSE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LEU;;;;
636;978284764666;AMOUR INACHEVE-L';LEURRECH MARYSE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LEU;;;;
637;9782228897693;ROMY AU FIL DE LA VIE;LELAIT-HELO DAVID;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;BIOGRAPHIE;ADULTE;PORTRAIT DE ROMY SCHNEIDER;RBI-LEL;;;;
638;9782277119474;RENCONTRES DU 3° TYPE;SPIELBERG STEVEN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;SF SCIENCE FICTION;ADULTE;;RSF-SPI;;;;
639;9782298034097;PREMIERE NUIT-LA;LEVY MARC;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;2 EXEMPLAIRES;RRO-LEV;;;;
640;9782298025590;PREMIER JOUR-LE;LEVY MARC;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;2 EXEMPLAIRES;RRO-LEV;;;;
641;9782221116807;SI C'ETAIT A REFAIRE;LEVY MARC;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LEV;;;;
642;9782277212232;DAME DU NIL-LA    *T1;GEDGE PAULINE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;HISTORIQUE;ADULTE;HATCHEPSOUT, PHARAONNE EGYPTIENNE;RHI-GED;;;;
643;9782277212249;DAME DU NIL-LA    *T2;GEDGE PAULINE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;HISTORIQUE;ADULTE;;RHI-GED;;;;
644;9782266147729;PROCHAINE FOIS-LA;LEVY MARC;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LEV;;;;
645;9782266122696;OU ES-TU?;LEVY MARC;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LEV;;;;
646;9782266104531;ET SI C'ETAIT VRAI;LEVY MARC;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LEV;;;;
647;9782277522775;ROBE DE SAGESSE-LA;RAMPA T.LOBSANG;CONTEMPORAINE (+19°);ASIATIQUE;ROMAN;RELIGION-ESOTERISME;ADULTE;;RRE-RAM;;;;
648;;CAVES DU VATICAN-LES;GIDE ANDRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GID;;;;
649;;IMMORALISTE-L ‘;GIDE ANDRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GID;;;;
650;;SYMPHONIE PASTORALE-LA;GIDE ANDRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GID;;;;
651;;SOLEIL DE MINUIT;GIDE ANDRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GID;;;;
652;;ROI LEPREUX-LE;BENOIT PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BEN;;;;
653;;ATLANTIDE-L’;BENOIT PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BEN;;;;
654;;CHAUSSEE DES GEANTS-LA;BENOIT PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BEN;;;;
655;;MADEMOISELLE DE LA FERTE;BENOIT PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BEN;;;;
656;;POUR DON CARLOS;BENOIT PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BEN;;;;
657;;CHATELAINE DU LIBAN-LA;BENOIT PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BEN;;;;
658;;DAME DE L’OUEST;BENOIT PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BEN;;;;
659;;DEJEUNER DE SOUSCEYRAC-LE;BENOIT PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BEN;;;;
660;9782876451308;JAMAIS SANS MA FILLE;MAHMOODY BETTY;CONTEMPORAINE (+19°);AFRICAIN;DOCUMENT;BIOGRAPHIE;ADULTE;;DBI-MAH;;;;
661;;SIX PERSONNAGES EN QUETE D’AUTEUR;PIRANDELLO;CONTEMPORAINE (+19°);ITALIEN;ROMAN;ROMAN;ADULTE;;RRO-PIR;;;;
662;9782266017954;FILLE DU CAPITAINE-LA;POUCHKINE;CONTEMPORAINE (+19°);RUSSE;ROMAN;ROMAN;ADULTE;;RRO-POU;;;;
663;978266009389;IL ETAIT UNE FOIS MARCEL PAGNOL;CASTANS RAYMOND;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;BIOGRAPHIE;TOUT PUBLIC;;RBI-CAS;;;;
664;9782877060547;JEAN DE FLORETTE;PAGNOL MARCEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-PAG;;;;
665;9782877060554;MANON DES SOURCES;PAGNOL MARCEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;2 EXEMPLAIRES;RRO-PAG;;;;
666;9782266000314;GLOIRE DE MON PERE-LA;PAGNOL MARCEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;2 EXEMPLAIRES;RRO-PAG;;;;
667;9782266000932;TOPAZE;PAGNOL MARCEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-PAG;;;;
668;9782260000789;TEMPS DES AMOURS-LE;PAGNOL MARCEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-PAG;;;;
669;;TEMPS DES SECRETS-LE;PAGNOL MARCEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-PAG;;;;
670;;CONFIDENCES;PAGNOL MARCEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;BIOGRAPHIE;TOUT PUBLIC;;RBI-PAG;;;;
671;9782253004219;THERESE DESQUEYROUX;MAURIAC FRANCOIS;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAU;;;;
672;9782266002707;SAGOUIN-LE;MAURIAC FRANCOIS;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAU;;;;
673;9782266023092;JOURNAL D’ANNE FRANCK;FRANCK ANNE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;BIOGRAPHIE;ADULTE;;DBI-FRA;;;;
674;9782253005674;CYRANO DE BERGERAC;ROSTAND EDMOND;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-ROS;;;;
675;;LUCIENNE;ROMAIN JULES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-ROM;;;;
676;9782080700582;POIL DE CAROTTE;RENARD JULES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-REN;;;;
677;;BOITE A PECHE-LA;GENEVOIX MAURICE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-GEN;;;;
678;9782847360998;JEAN PAUL SARTRE;JAEGLE MARIANNE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;BIOGRAPHIE;TOUT PUBLIC;;DBI-JAE;;;;
679;;PETITE INFANTE DE CASTILLE-LA;MONTHERLANT HENRY DE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MON;;;;
680;9782266159227;CANDIDE;VOLTAIRE;CLASSIQUE(18°-);FRANCAIS;ROMAN;PHILOSOPHIE;TOUT PUBLIC;;RPH-VOL;;;;
681;9782035861542;INGENUE-L’;VOLTAIRE;CLASSIQUE(18°-);FRANCAIS;ROMAN;PHILOSOPHIE;TOUT PUBLIC;;RPH-VOL;;;;
682;;DESTINEES-LES;VIGNY ALFRED DE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;POÉSIE;TOUT PUBLIC;;DPO-VIG;;;;
683;9782253010234;ANIMAUX DENATURES-LES;VERCORS;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-VER;;;;
684;;ENFANCE ET ADOLESCENCE;TOLSTOI LEON;CONTEMPORAINE (+19°);RUSSE;DOCUMENT;BIOGRAPHIE;ADULTE;;DBI-TOL;;;;
685;9782253007098;MARE AU DIABLE-LA;SAND GEORGES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-SAN;;;;
686;9782253194729;RENDEZ VOUS A FONTEBLAIR;MALAVAL JEAN PAUL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;"3° VOLET DE ""LES NOCES DE SOIE »";RRO-MAL;;;;
687;;PEAU-LA;MALAPARTE CURZIO;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;ADULTE;RECITS DE LA RECITS DE LA 1°GUERRE MONDIALE EN ITALIE;DHI-MAL;;;;
688;;SOLEIL EST AVEUGLE-LE;MALAPARTE CURZIO;CONTEMPORAINE (+19°);ITALIEN;DOCUMENT;HISTORIQUE;ADULTE;LA 2° GUERRE MONDIALE;DHI-MAL;;;;
689;;KAPUTT;MALAPARTE CURZIO;CONTEMPORAINE (+19°);ITALIEN;DOCUMENT;HISTORIQUE;ADULTE;RECITS DE FIN DE GUERRE;DHI-MAL;;;;
690;9782724207343;PELAGIE LA CHARETTE;MAILLET ANTONINE;CONTEMPORAINE (+19°);CANADIEN;ROMAN;ROMAN;ADULTE;;RRO-MAI;;;;
691;9782253023914;CORDES DE BOIS-LES;MAILLET ANTONINE;CONTEMPORAINE (+19°);CANADIEN;ROMAN;ROMAN;ADULTE;;RRO-MAI;;;;
692;9782253041931;LEON L’AFRICAIN;MAALOUF AMIN;CONTEMPORAINE (+19°);ARABE;ROMAN;ROMAN;ADULTE;;RRO-MAA;;;;
693;9782744102520;ANTONIN MAILLEFER;LIBOUREL JEAN CLAUDE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LIB;;;;
